     100,000 attempts |     1 sec | 75,440 attempts / sec |   0 solutions found | searching for (0,0,0)
     200,000 attempts |     3 sec | 75,494 attempts / sec |   0 solutions found | searching for (0,0,0)
     300,000 attempts |     4 sec | 75,760 attempts / sec |   0 solutions found | searching for (0,0,0)
     400,000 attempts |     5 sec | 75,603 attempts / sec |   0 solutions found | searching for (0,0,1)
     500,000 attempts |     7 sec | 75,994 attempts / sec |   0 solutions found | searching for (0,0,1)
     600,000 attempts |     8 sec | 76,449 attempts / sec |   0 solutions found | searching for (0,0,1)
     700,000 attempts |     9 sec | 76,832 attempts / sec |   2 solutions found | searching for (0,0,1)
     800,000 attempts |    10 sec | 76,900 attempts / sec |   2 solutions found | searching for (0,0,1)
     900,000 attempts |    12 sec | 77,131 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,000,000 attempts |    13 sec | 77,280 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,100,000 attempts |    14 sec | 77,296 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,200,000 attempts |    16 sec | 77,230 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,300,000 attempts |    17 sec | 77,170 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,400,000 attempts |    18 sec | 77,144 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,500,000 attempts |    19 sec | 77,251 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,600,000 attempts |    21 sec | 77,272 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,700,000 attempts |    22 sec | 77,310 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,800,000 attempts |    23 sec | 77,292 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,900,000 attempts |    25 sec | 77,216 attempts / sec |   4 solutions found | searching for (0,0,1)
   2,000,000 attempts |    26 sec | 77,210 attempts / sec |   4 solutions found | searching for (0,0,1)
   2,100,000 attempts |    27 sec | 77,175 attempts / sec |   6 solutions found | searching for (0,0,1)
   2,200,000 attempts |    29 sec | 77,153 attempts / sec |   6 solutions found | searching for (0,0,1)
   2,300,000 attempts |    30 sec | 77,175 attempts / sec |   8 solutions found | searching for (0,0,1)
   2,400,000 attempts |    31 sec | 77,148 attempts / sec |   8 solutions found | searching for (0,0,2)
   2,500,000 attempts |    32 sec | 77,022 attempts / sec |   8 solutions found | searching for (0,0,2)
   2,600,000 attempts |    34 sec | 77,020 attempts / sec |   8 solutions found | searching for (0,0,2)
   2,700,000 attempts |    35 sec | 77,038 attempts / sec |  10 solutions found | searching for (0,0,2)
   2,800,000 attempts |    36 sec | 77,085 attempts / sec |  12 solutions found | searching for (0,0,2)
   2,900,000 attempts |    38 sec | 77,018 attempts / sec |  12 solutions found | searching for (0,0,2)
   3,000,000 attempts |    39 sec | 76,991 attempts / sec |  12 solutions found | searching for (0,0,2)
   3,100,000 attempts |    40 sec | 77,018 attempts / sec |  12 solutions found | searching for (0,0,2)
   3,200,000 attempts |    42 sec | 77,044 attempts / sec |  12 solutions found | searching for (0,0,2)
   3,300,000 attempts |    43 sec | 77,008 attempts / sec |  12 solutions found | searching for (0,0,2)
