      71,192 attempts |     1 sec | 71,192 attempts / sec |   0 solutions found | searching for (0,0,0)
     142,629 attempts |     2 sec | 71,314 attempts / sec |   0 solutions found | searching for (0,0,0)
     214,180 attempts |     3 sec | 71,392 attempts / sec |   0 solutions found | searching for (0,0,0)
     285,614 attempts |     4 sec | 71,403 attempts / sec |   0 solutions found | searching for (0,0,0)
     357,723 attempts |     5 sec | 71,544 attempts / sec |   0 solutions found | searching for (0,0,1)
     430,640 attempts |     6 sec | 71,773 attempts / sec |   0 solutions found | searching for (0,0,1)
     503,565 attempts |     7 sec | 71,937 attempts / sec |   0 solutions found | searching for (0,0,1)
     576,406 attempts |     8 sec | 72,050 attempts / sec |   0 solutions found | searching for (0,0,1)
     650,027 attempts |     9 sec | 72,225 attempts / sec |   0 solutions found | searching for (0,0,1)
     722,347 attempts |    10 sec | 72,234 attempts / sec |   0 solutions found | searching for (0,0,1)
     795,837 attempts |    11 sec | 72,348 attempts / sec |   0 solutions found | searching for (0,0,1)
     868,844 attempts |    12 sec | 72,403 attempts / sec |   2 solutions found | searching for (0,0,1)
     941,430 attempts |    13 sec | 72,417 attempts / sec |   2 solutions found | searching for (0,0,1)
   1,019,196 attempts |    14 sec | 72,799 attempts / sec |   2 solutions found | searching for (0,0,1)
   1,096,867 attempts |    15 sec | 73,124 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,169,610 attempts |    16 sec | 73,100 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,244,852 attempts |    17 sec | 73,226 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,319,696 attempts |    18 sec | 73,316 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,395,480 attempts |    19 sec | 73,446 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,471,288 attempts |    20 sec | 73,564 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,547,015 attempts |    21 sec | 73,667 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,622,914 attempts |    22 sec | 73,768 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,696,835 attempts |    23 sec | 73,775 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,771,676 attempts |    24 sec | 73,819 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,847,340 attempts |    25 sec | 73,893 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,922,137 attempts |    26 sec | 73,928 attempts / sec |   4 solutions found | searching for (0,0,1)
   1,997,500 attempts |    27 sec | 73,981 attempts / sec |   4 solutions found | searching for (0,0,1)
   2,073,403 attempts |    28 sec | 74,049 attempts / sec |   6 solutions found | searching for (0,0,1)
